# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J003821.21+000620.13   9.58856    0.10549    0.7    48.87     0.066   0.046   0.034   0.0711   3       10.41   7.84        20.71    34.34   34.61    10.77    
  J003828.13+000720.78   9.61728    0.12228    0.64   170.0     0.067   0.046   0.034   0.0417   4       9.02    6.94        19.5     25.07   25.22    10.5     
  J003840.45+010825.8    9.66857    1.14052    0.87   100.0     0.055   0.038   0.028   0.0141   -99     1.0     1.9         1.47     2.76    4.66     8.39     
  J003855.92-004821.82   9.73301    -0.80594   0.65   156.0     0.075   0.052   0.039   0.0678   4       11.86   8.84        22.44    31.26   31.2     10.58    
  J003912.50-004509.53   9.80215    -0.75276   0.76   101.01    0.074   0.051   0.038   0.0458   -5      4.15    5.86        15.02    22.7    34.37    10.99    
  J003933.21+003550.90   9.88858    0.5972     0.67   45.0      0.057   0.039   0.029   0.0771   -5      11.41   13.98       31.05    47.97   112.44   11.7     
  J003934.82+005135.83   9.89529    0.85979    0.71   60.5      0.066   0.046   0.034   0.0146   5       8.64    7.7         16.39    20.87   23.01    10.37    
  J004013.54+003527.6    10.05644   0.591      0.87   98.0      0.053   0.037   0.027   0.0137   -99     1.78    1.5         1.12     3.04    2.52     7.86     
  J004027.21+001942.3    10.11339   0.32843    0.66   118.0     0.059   0.041   0.03    0.0147   -99     1.02    1.74        1.64     2.84    3.28     8.06     
  J004037.85-001950.49   10.15772   -0.331     0.83   105.34    0.073   0.051   0.038   0.0195   4       5.46    5.01        11.47    14.76   16.72    10.23    
  J004052.51-001644.37   10.21892   -0.2791    0.76   72.0      0.071   0.049   0.036   0.0551   0       5.92    6.05        15.03    19.23   20.36    10.86    
  J004110.86+003918.04   10.29516   0.65489    1.0    0.0       0.072   0.05    0.037   0.0586   4       5.81    5.56        14.51    21.13   29.5     10.62    
  J004123.9-000354.2     10.34958   -0.06508   0.91   55.0      0.067   0.046   0.034   0.0133   -99     2.88    2.49        3.46     6.8     6.54     8.95     
  J004129.36-011145.8    10.37234   -1.19608   0.68   7.91      0.072   0.05    0.037   0.0174   -99     1.73    2.19        2.14     3.77    4.34     8.32     
  J004137.99+001527.42   10.40844   0.25773    0.76   86.29     0.065   0.045   0.033   0.0181   9       2.57    4.84        4.09     8.26    10.33    9.07     
  J004140.18+001231.3    10.41745   0.2087     0.75   120.0     0.068   0.047   0.035   0.0175   -99     1.63    2.04        3.17     4.53    5.35     8.62     
  J004146.11+011037.39   10.44259   1.17708    0.71   105.17    0.073   0.051   0.038   0.018    5       4.5     4.68        8.67     12.33   14.57    9.84     
  J004149.30-002437.42   10.45546   -0.41023   0.89   196.33    0.061   0.042   0.031   0.0814   3       12.4    8.74        24.41    36.67   36.36    11.18    
  J004209.26-000516.5    10.53859   -0.08794   0.73   99.0      0.056   0.038   0.029   0.018    -99     1.27    1.88        2.92     4.6     4.68     8.65     
  J004215.87+005043.71   10.56624   0.84538    0.73   155.0     0.069   0.047   0.035   0.0179   2       3.8     3.5         12.15    18.04   21.87    10.53    
  J004231.05+010437.74   10.62951   1.07693    0.74   104.17    0.063   0.043   0.032   0.0175   -5      1.82    2.44        5.58     9.28    13.76    10.01    
  J004245.39+005837.20   10.6893    0.97694    0.65   22.17     0.065   0.045   0.033   0.0682   -5      8.81    12.34       25.09    41.19   73.77    11.44    
  J004351.87+004807.05   10.96603   0.80208    0.39   73.31     0.07    0.048   0.036   0.0181   5       6.14    4.95        12.94    18.02   16.21    9.53     
  J004447.49-002538.59   11.19798   -0.42761   0.89   140.0     0.051   0.035   0.026   0.0433   -5      7.24    8.9         13.19    22.38   55.23    10.96    
  J004647.08-004203.3    11.69619   -0.70093   0.38   61.0      0.065   0.045   0.033   0.0158   -99     2.44    2.83        4.69     6.89    6.63     8.6      
  J004649.81+004146.70   11.70762   0.69625    0.79   64.0      0.079   0.055   0.041   0.0434   -2      3.59    5.62        12.75    19.42   38.97    10.88    
  J004759.81+011209.15   11.99897   1.20241    0.43   138.0     0.088   0.061   0.045   0.0432   0       5.89    6.76        17.33    23.18   26.4     10.51    
  J004809.59-005444.16   12.04023   -0.91237   0.49   20.0      0.095   0.066   0.049   0.0339   0       4.15    3.98        11.7     15.55   17.15    10.37    
  J004901.11+004011.1    12.25466   0.66976    0.42   26.0      0.084   0.058   0.043   0.0177   -99     1.65    2.08        1.48     3.41    2.04     7.25     
  J004952.15+005747.6    12.46731   0.96325    0.31   33.0      0.08    0.055   0.041   0.0153   -99     3.55    2.81        7.97     11.7    10.28    9.45     
  J005042.73+002558.37   12.6781    0.43278    0.63   100.0     0.077   0.053   0.039   0.0682   3       10.47   9.78        25.43    38.66   58.87    11.03    
  J005057.37+010911.58   12.73913   1.15228    0.93   51.48     0.081   0.056   0.041   0.0654   -5      10.0    11.78       26.91    44.75   73.74    11.66    
  J005149.43+003352.8    12.956     0.56467    0.4    -104.97   0.078   0.054   0.04    0.0154   -99     1.63    3.64        4.14     7.04    7.12     8.53     
  J005159.65-002912.6    12.99854   -0.48685   0.54   60.0      0.13    0.09    0.067   0.0054   -99     0.88    1.36        2.59     4.99    4.75     8.78     
  J005204.21+000535.65   13.01768   0.09299    0.53   170.0     0.081   0.056   0.041   0.0553   1       5.78    5.37        14.55    21.47   33.52    10.58    
  J005345.43+005536.77   13.43959   0.9266     0.74   28.97     0.075   0.052   0.039   0.0431   0       3.31    5.03        13.0     16.63   20.83    10.72    
  J005352.74+005846.52   13.46994   0.97953    0.71   72.65     0.074   0.051   0.038   0.042    -5      10.37   10.97       25.14    41.29   74.56    11.39    
  J005415.56-010456.5    13.56487   -1.08237   0.68   131.0     0.12    0.083   0.062   0.0152   -99     0.53    1.58        1.06     1.8     1.59     7.59     
  J005415.92-011421.64   13.56643   -1.23947   1.0    150.0     0.124   0.086   0.064   0.045    0       5.4     8.05        16.21    21.34   28.56    11.0     
  J005442.00-010724.77   13.67522   -1.12337   0.74   121.78    0.116   0.08    0.059   0.0533   2       6.15    5.24        13.59    20.69   21.11    10.42    
  J005445.74+003557      13.69062   0.59918    0.66   15.0      0.087   0.06    0.044   0.0179   -99     1.11    1.43        0.97     2.31    1.77     7.32     
  J005508.96-010247.33   13.78729   -1.04674   0.73   170.0     0.11    0.076   0.056   0.0457   -5      14.21   12.62       30.56    47.72   66.73    11.36    
  J005529.51-010757.95   13.87301   -1.13289   0.31   4.0       0.117   0.081   0.06    0.0396   1       3.52    3.96        13.01    17.1    21.86    10.3     
  J005541.32-005630.9    13.9222    -0.94194   0.54   107.0     0.112   0.077   0.057   0.015    -99     0.74    1.63        1.59     2.99    2.88     7.85     
  J005551.2-010425.1     13.96337   -1.07366   0.76   120.0     0.116   0.08    0.06    0.0149   -99     0.49    1.05        0.88     1.65    1.67     7.52     
  J005603.34-004941.07   14.01405   -0.82819   0.46   50.0      0.105   0.073   0.054   0.0444   1       3.43    4.95        13.47    18.16   22.88    10.58    
  J005610.67-010700.90   14.04449   -1.11699   0.86   145.0     0.124   0.086   0.064   0.0417   -5      7.14    8.31        17.05    27.08   83.12    11.29    
  J005619.60-000732.76   14.08165   -0.12607   0.35   77.63     0.074   0.051   0.038   0.0433   2       5.72    6.34        18.71    26.3    31.21    10.61    
  J005621.00-011035.87   14.08761   -1.17675   0.56   120.0     0.134   0.093   0.069   0.0391   -5      3.99    4.78        14.33    21.13   30.68    10.98    
  J005623.54-005912.82   14.09822   -0.98701   0.71   70.0      0.115   0.08    0.059   0.044    -5      3.96    5.87        13.58    22.11   38.21    11.0     
  J005626.30+000237.77   14.10965   0.04376    0.82   45.0      0.079   0.055   0.041   0.0437   -5      7.3     11.79       14.74    27.35   74.62    11.09    
  J005630.71-011022.36   14.12793   -1.17315   0.65   97.5      0.14    0.097   0.072   0.0422   -3      3.33    4.58        12.59    20.02   29.32    10.82    
  J005640.40-002311.54   14.16846   -0.38667   0.79   173.0     0.085   0.059   0.044   0.0449   3       4.35    4.93        11.4     16.31   19.12    10.39    
  J005651.89+000021.01   14.21616   0.0058     0.82   90.71     0.084   0.058   0.043   0.0448   -3      5.19    6.87        16.02    21.92   37.96    11.11    
  J005656.89-011242.70   14.23716   -1.21191   0.9    150.0     0.15    0.103   0.077   0.05     3       8.47    9.05        20.12    27.1    27.94    10.74    
  J005700.33-004930.81   14.25151   -0.82535   0.85   -116.07   0.097   0.067   0.05    0.0487   -3      4.56    6.19        14.22    19.96   29.96    11.01    
  J005702.04-005230.70   14.25865   -0.8753    0.88   130.0     0.101   0.07    0.052   0.0442   -5      13.73   14.23       34.72    56.99   120.27   11.85    
  J005713.75-010044.08   14.30741   -1.01235   0.72   134.0     0.131   0.09    0.067   0.0392   -5      3.14    4.56        11.2     19.67   39.45    10.88    
  J005713.84-003850.31   14.30774   -0.64759   0.88   29.45     0.089   0.061   0.046   0.0422   0       3.66    5.19        14.86    18.93   24.97    10.91    
  J005716.97-004010.13   14.3208    -0.66952   0.7    105.58    0.088   0.061   0.045   0.0452   -2      7.35    8.36        20.35    27.95   40.9     11.21    
  J005725.76-003111.93   14.3574    -0.52003   0.6    130.0     0.145   0.1     0.074   0.0421   -3      3.64    5.1         15.28    24.97   37.03    11.0     
  J005727.32-003406.31   14.36391   -0.56859   0.61   34.76     0.108   0.075   0.056   0.0462   -2      7.4     7.59        15.65    21.32   33.32    10.74    
  J005740.17-003528.67   14.41738   -0.59151   0.97   85.0      0.102   0.07    0.052   0.0456   -3      4.01    4.69        10.96    14.89   22.79    10.81    
  J005742.3+001052.5     14.42628   0.18126    0.43   110.5     0.086   0.06    0.044   0.0154   -99     1.25    1.68        1.4      2.96    2.03     7.21     
  J005751.70-010809.66   14.4655    -1.13607   0.78   140.0     0.192   0.133   0.099   0.0432   3       9.64    9.22        20.13    26.52   33.97    10.77    
  J005753.69-004852.90   14.47382   -0.81479   0.96   120.0     0.094   0.065   0.048   0.0419   -2      2.78    4.47        12.41    17.27   25.08    11.03    
  J005756.6+005208.7     14.48584   0.86909    0.6    155.0     0.084   0.058   0.043   0.0076   -99     0.71    1.1         1.27     2.07    1.89     7.54     
  J005800.46-001727.23   14.50205   -0.29101   0.71   78.0      0.104   0.072   0.053   0.0441   -5      4.43    7.0         15.27    22.86   40.3     10.97    
  J005805.63-005359      14.52349   -0.89974   0.97   70.0      0.111   0.077   0.057   0.0172   -99     0.81    1.5         1.59     2.61    2.79     8.23     
  J005846.78-004506.57   14.69502   -0.75193   0.78   89.0      0.119   0.083   0.061   0.044    -5      5.22    6.32        15.34    24.74   56.15    11.12    
  J005848.85+003514.10   14.70392   0.58724    0.94   132.24    0.109   0.075   0.056   0.0181   5       4.16    3.32        9.49     14.03   13.68    10.21    
  J005855.47+010017.2    14.73117   1.00479    0.63   -125.81   0.091   0.063   0.047   0.0179   -99     2.68    3.98        3.53     7.09    6.17     8.43     
  J005901.19+002530.86   14.75502   0.4252     0.71   40.0      0.095   0.066   0.049   0.0638   -5      6.66    10.1        21.06    34.31   73.65    11.4     
  J005904.14+010003.7    14.76725   1.00103    0.7    0.0       0.092   0.063   0.047   0.0178   -99     0.94    1.7         2.92     4.46    4.75     8.76     
