# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
283,1.19,7079457843.841373,1.641,0.05,1
284,0.71,12882495516.931322,2.416,0.043,1
285,1.21,38904514499.42805,2.293,0.05,1
286,0.71,6456542290.346562,1.424,0.043,1
287,0.55,46773514128.71981,1.27,0.038,1
288,0.75,47863009232.2638,1.322,0.044,1
289,1.04,27542287033.381634,2.135,0.049,1
290,0.73,51286138399.13659,1.614,0.044,1
291,1.05,46773514128.71981,3.063,0.049,1
292,1.3,9120108393.559114,1.408,0.05,1
293,1.3,6760829753.919819,1.559,0.05,1
294,1.21,112201845430.19653,1.695,0.05,1
295,0.98,54954087385.76248,1.531,0.048,0
296,0.37,32359365692.96281,1.414,0.031,0
297,0.47,6309573444.801943,4.217,0.035,1
298,1.27,7244359600.749891,3.662,0.096,1
299,1.17,19054607179.632442,1.339,0.132,0
300,1.3,8511380382.023759,2.565,0.078,1
301,0.64,19498445997.580414,1.488,0.041,1
302,1.17,10471285480.508986,3.599,0.175,1
303,0.92,13182567385.564047,2.824,0.047,1
304,0.84,7585775750.291851,0.962,0.046,1
305,1.28,12302687708.123812,4.017,0.319,1
306,0.98,83176377110.26709,1.244,0.048,0
307,0.55,27542287033.381634,1.001,0.038,1
308,1.08,77624711662.86928,2.836,0.06,0
309,1.08,37153522909.71728,1.956,0.049,1
310,0.74,9332543007.969925,3.507,0.064,1
311,0.46,58884365535.55884,4.132,0.035,1
312,1.1,15488166189.124796,6.674,0.305,1
313,0.96,22908676527.6777,2.237,0.048,1
314,1.01,10232929922.807537,3.277,0.137,1
315,0.68,8511380382.023759,2.629,0.042,1
316,1.01,13182567385.564047,1.494,0.048,1
317,0.95,6309573444.801943,1.472,0.047,1
318,0.47,8511380382.023759,1.382,0.035,1
319,0.69,46773514128.71981,3.626,0.045,0
320,1.04,36307805477.01018,1.067,0.049,1
321,0.48,30902954325.13592,1.47,0.036,1
322,0.98,17378008287.493763,2.345,0.048,1
323,0.81,67608297539.19819,2.445,0.045,1
324,1.07,107151930523.76048,1.855,0.049,1
325,1.13,23988329190.194946,4.418,0.217,1
326,1.19,6918309709.189363,3.282,0.33,1
327,1.3,10232929922.807537,3.219,0.05,1
328,0.7,10000000000.0,3.561,0.043,1
329,0.21,31622776601.683792,4.383,0.021,1
330,0.82,11481536214.968842,1.682,0.045,1
331,0.82,14454397707.45928,1.136,0.045,1
332,0.98,40738027780.41122,3.35,0.048,1
333,1.14,14125375446.227554,4.198,0.102,1
334,0.91,10000000000.0,2.534,0.047,1
335,0.61,54954087385.76248,2.67,0.04,0
336,0.82,89125093813.3744,2.091,0.045,1
337,0.75,46773514128.71981,1.057,0.044,0
338,0.75,15135612484.362072,1.806,0.044,1
339,0.94,7762471166.286927,4.403,0.109,1
340,0.74,104712854805.08984,2.893,0.044,1
341,0.97,16982436524.61746,14.224,0.076,1
342,1.1,34673685045.2531,0.883,0.049,0
343,0.74,11481536214.968842,3.595,0.057,1
344,0.45,26915348039.26914,1.798,0.035,1
345,0.7,6918309709.189363,0.858,0.043,0
346,0.97,15135612484.362072,2.768,0.048,1
347,0.47,6456542290.346562,2.87,0.035,1
348,1.2,23988329190.194946,2.589,0.099,0
349,0.91,19498445997.580414,2.018,0.047,1
350,0.26,13803842646.028866,1.86,0.024,0
351,0.34,6309573444.801943,7.247,0.208,1
352,0.86,50118723362.72715,4.754,0.075,1
353,0.51,13182567385.564047,0.444,0.037,0
354,1.21,79432823472.42822,6.83,0.073,1
355,1.24,75857757502.91852,3.351,0.05,1
356,1.19,23988329190.194946,5.719,3.458,0
357,0.96,15848931924.611109,2.618,0.073,0
358,1.19,16595869074.375631,1.84,0.05,1
359,1.19,6606934480.075964,10.195,1.589,1
360,0.65,56234132519.034904,2.829,0.042,0
361,0.93,15488166189.124796,1.18,0.047,1
362,0.98,15135612484.362072,1.579,0.048,0
363,0.42,7585775750.291851,3.422,0.033,1
364,0.96,100000000000.0,3.475,0.06,0
365,1.1,34673685045.2531,4.318,0.049,1
366,1.08,34673685045.2531,1.32,0.049,1
367,0.63,28840315031.266117,1.765,0.041,1
368,1.09,29512092266.663902,5.339,0.246,1
369,1.19,42657951880.15934,1.691,0.05,1
370,0.98,7943282347.242822,2.632,0.06,1
371,0.73,19054607179.632442,0.567,0.044,0
372,0.79,19498445997.580414,1.706,0.045,1
373,1.24,11220184543.019653,1.0,0.095,1
374,0.59,13182567385.564047,1.912,0.04,1
375,0.99,19498445997.580414,0.911,0.048,1
376,1.25,85113803820.2376,1.302,0.05,0
377,0.48,45708818961.48752,2.976,0.036,1
378,0.63,10000000000.0,2.216,0.041,1
379,0.78,29512092266.663902,4.558,0.1,1
380,1.12,9549925860.214369,2.117,0.049,1
381,0.47,28840315031.266117,1.984,0.035,1
382,0.98,6918309709.189363,3.015,0.048,1
383,1.27,19952623149.688828,3.111,0.05,1
384,1.19,7079457843.841373,2.387,0.05,1
385,1.27,162181009735.8933,2.659,0.079,0
386,0.88,7585775750.291851,1.72,0.046,1
387,0.77,41686938347.03346,1.157,0.044,0
388,0.81,26302679918.953815,1.268,0.045,1
389,0.99,39810717055.34969,0.672,0.048,0
390,0.74,14791083881.682072,2.192,0.044,1
391,0.78,6606934480.075964,2.726,0.045,1
392,0.73,19952623149.688828,1.134,0.044,1
393,0.67,223872113856.83377,3.793,0.042,0
394,1.25,60255958607.435684,4.907,0.197,0
395,0.76,37153522909.71728,0.31,0.044,0
396,0.91,14454397707.45928,1.408,0.047,0
397,1.11,23442288153.19918,2.409,0.049,1
398,1.09,33884415613.920204,3.821,0.09,0
399,1.01,26915348039.26914,2.506,0.332,0
400,0.69,13182567385.564047,2.303,0.043,1
401,1.16,16218100973.58933,1.238,0.05,1
402,1.18,117489755493.95303,1.192,0.05,0
403,1.19,33884415613.920204,0.945,0.05,0
404,0.67,9120108393.559114,2.529,0.042,1
405,0.71,13182567385.564047,2.071,0.043,1
406,0.46,12589254117.941662,0.945,0.035,1
407,0.46,6606934480.075964,1.856,0.035,1
408,0.91,11748975549.395304,0.375,0.047,0
409,0.82,50118723362.72715,3.455,0.064,1
410,1.22,58884365535.55884,1.697,0.05,1
411,0.98,26915348039.26914,1.483,0.048,1
412,1.04,104712854805.08984,5.094,0.292,0
413,0.84,26915348039.26914,1.695,0.046,1
414,1.23,18197008586.099827,1.349,0.063,0
415,1.15,43651583224.016655,5.837,0.192,1
416,0.46,7413102413.009162,2.976,0.035,1
417,0.75,70794578438.41373,1.806,0.044,1
418,0.3,7079457843.841373,2.166,0.027,1
419,0.51,7244359600.749891,1.185,0.037,1
420,1.16,58884365535.55884,1.635,0.05,1
421,1.14,9549925860.214369,8.575,1.106,0
422,1.25,45708818961.48752,1.352,0.05,0
423,0.39,125892541179.41661,3.272,0.032,1
424,1.11,7762471166.286927,7.914,0.245,1
425,1.14,6760829753.919819,1.778,0.049,1
426,0.99,77624711662.86928,1.967,0.048,0
427,0.91,173780082874.93762,3.473,0.047,0
428,0.95,9549925860.214369,1.757,0.047,1
429,1.15,14791083881.682072,2.819,0.049,1
430,1.01,25118864315.09582,0.964,0.048,0
431,1.19,23442288153.19918,1.79,0.05,1
432,1.3,10232929922.807537,3.068,0.533,1
433,0.82,18620871366.628654,2.318,0.045,1
434,1.12,16595869074.375631,3.89,0.101,1
435,0.95,6918309709.189363,7.311,0.507,1
436,0.71,7585775750.291851,2.114,0.043,1
437,1.22,39810717055.34969,1.198,0.05,0
438,1.21,48977881936.84457,6.478,0.082,1
439,0.46,42657951880.15934,1.366,0.035,0
440,0.62,16982436524.61746,3.871,0.041,1
441,0.7,26915348039.26914,2.145,0.043,1
442,0.85,14454397707.45928,2.437,0.046,1
443,0.57,15135612484.362072,1.254,0.039,0
444,0.54,11220184543.019653,4.272,0.038,1
445,0.5,13803842646.028866,1.979,0.037,1
446,1.24,158489319246.11108,2.751,0.05,1
447,1.02,28183829312.644493,1.787,0.048,1
448,0.49,17782794100.38923,1.958,0.036,1
449,1.05,9120108393.559114,1.993,0.049,1
450,1.06,177827941003.89227,2.192,0.049,1
451,1.03,7413102413.009162,3.389,0.312,1
452,1.03,61659500186.148094,1.162,0.048,1
453,0.72,30199517204.02019,1.388,0.043,0
454,1.05,147910838816.8207,5.056,0.132,0
455,1.0,30199517204.02019,3.077,0.048,1
456,1.25,22908676527.6777,6.238,0.435,0
457,0.82,95499258602.14369,3.046,0.045,1
458,1.12,91201083935.59116,2.708,0.049,1
459,0.98,40738027780.41122,1.818,0.048,1
460,0.56,35481338923.357605,1.903,0.039,1
461,1.18,23442288153.19918,1.54,0.05,1
462,0.79,23988329190.194946,7.607,0.096,1
463,1.1,91201083935.59116,2.159,0.049,1
464,0.78,63095734448.019424,3.173,0.045,1
465,0.72,10715193052.376049,2.169,0.043,1
466,1.17,131825673855.64047,1.538,0.05,0
467,1.13,42657951880.15934,1.578,0.049,1
468,1.01,125892541179.41661,2.217,0.048,1
469,0.51,11481536214.968842,3.741,0.037,1
470,1.04,16218100973.58933,2.62,0.049,1
471,0.98,36307805477.01018,3.015,0.054,1
472,0.22,10000000000.0,1.45,0.021,0
473,0.73,74131024130.09161,2.573,0.044,1
474,0.58,9772372209.558111,2.094,0.04,1
475,0.25,6456542290.346562,2.019,0.023,1
476,0.98,31622776601.683792,2.728,0.048,1
477,0.9,23988329190.194946,0.561,0.047,0
478,1.2,30199517204.02019,2.141,0.05,1
479,1.11,7943282347.242822,1.524,0.049,1
480,0.33,8511380382.023759,1.284,0.029,1
481,1.22,43651583224.016655,0.649,0.05,0
482,0.67,11748975549.395304,0.885,0.042,0
483,0.71,12022644346.174131,2.503,0.043,1
484,1.24,26302679918.953815,2.951,0.05,1
485,0.81,10715193052.376049,0.815,0.045,1
486,1.1,223872113856.83377,4.515,0.049,0
487,1.04,25118864315.09582,0.97,0.049,1
488,1.3,13182567385.564047,2.616,0.05,1
489,0.61,30199517204.02019,1.78,0.04,1
490,1.19,24547089156.850334,0.995,0.05,0
491,1.24,8317637711.026709,2.501,0.05,1
492,0.75,42657951880.15934,1.146,0.044,1
493,0.64,6309573444.801943,0.785,0.041,1
494,0.95,7079457843.841373,4.748,0.091,1
495,1.22,9120108393.559114,3.793,0.327,1
496,0.5,8511380382.023759,1.613,0.037,0
497,1.09,29512092266.663902,2.057,0.417,0
498,0.55,69183097091.89363,1.925,0.038,1
