# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
3685,0.9,15135612484.362072,1.45,0.047,1
3686,1.31,43651583224.016655,5.6,0.039,1
3687,1.61,23442288153.19918,1.679,0.051,1
3688,1.65,25118864315.09582,3.56,0.351,0
3689,2.0,323593656929.6281,1.005,0.05,1
3690,1.43,6760829753.919819,1.622,0.066,1
3691,1.32,6918309709.189363,3.468,0.113,1
3692,1.16,35481338923.357605,1.635,0.05,1
3693,1.32,7943282347.242822,2.469,0.05,1
3694,0.73,30199517204.02019,1.57,0.044,0
3695,1.55,23988329190.194946,3.153,0.105,1
3696,1.73,29512092266.663902,2.489,0.051,0
3697,0.68,22908676527.6777,2.205,0.042,1
3698,1.61,11481536214.968842,1.73,0.051,1
3699,1.22,12882495516.931322,8.485,0.344,1
3700,1.73,39810717055.34969,1.168,0.051,0
3701,0.58,85113803820.2376,1.304,0.04,0
3702,0.29,9332543007.969925,1.933,0.026,1
3703,1.13,11220184543.019653,0.74,0.049,1
3704,0.54,22908676527.6777,1.869,0.038,0
3705,1.03,56234132519.034904,3.244,0.048,1
3706,1.11,19054607179.632442,0.737,0.049,1
3707,0.74,63095734448.019424,1.929,0.044,0
3708,1.73,45708818961.48752,7.366,0.455,1
3709,0.73,6456542290.346562,2.53,0.044,1
3710,1.91,29512092266.663902,1.717,0.111,0
3711,1.04,8709635899.560797,4.075,0.049,1
3712,1.46,14454397707.45928,3.147,0.058,1
3713,1.9,138038426460.28867,1.869,0.051,0
3714,1.29,11220184543.019653,2.463,0.05,1
3715,1.22,11748975549.395304,0.25,0.05,0
3716,1.1,7585775750.291851,1.227,0.049,1
3717,1.07,14125375446.227554,0.342,0.049,0
3718,0.5,54954087385.76248,3.995,0.037,0
3719,1.21,11220184543.019653,2.692,0.05,1
3720,1.22,56234132519.034904,2.845,0.075,0
3721,1.04,81283051616.40996,1.213,0.049,0
3722,1.11,11481536214.968842,5.404,0.018,1
3723,1.73,12302687708.123812,2.896,0.051,1
3724,1.22,26915348039.26914,3.045,0.05,1
3725,1.1,19054607179.632442,1.914,0.049,1
3726,1.33,91201083935.59116,1.21,0.05,1
3727,1.31,46773514128.71981,1.762,0.05,0
3728,1.67,36307805477.01018,0.509,0.051,0
3729,0.73,8912509381.33744,0.48,0.044,1
3730,1.52,43651583224.016655,3.66,0.051,1
3731,1.12,70794578438.41373,3.397,0.049,1
3732,1.83,120226443461.74132,3.09,0.051,1
3733,0.87,7762471166.286927,0.695,0.046,1
3734,0.29,66069344800.75964,7.392,0.037,0
3735,1.47,38018939632.05613,4.265,0.082,1
3736,1.49,10471285480.508986,2.134,0.051,1
3737,0.84,9549925860.214369,1.512,0.046,1
3738,1.45,42657951880.15934,3.399,0.051,1
3739,1.8,7244359600.749891,1.115,0.051,1
3740,1.56,25703957827.68865,1.475,0.051,1
3741,1.62,11748975549.395304,1.933,0.051,1
3742,1.36,36307805477.01018,1.617,0.051,1
3743,0.52,47863009232.2638,1.384,0.037,1
3744,0.97,81283051616.40996,1.193,0.048,1
3745,1.29,6456542290.346562,4.485,0.115,1
3746,1.48,19054607179.632442,2.996,0.051,1
3747,1.88,177827941003.89227,3.792,0.083,0
3748,1.22,42657951880.15934,0.549,0.05,0
3749,1.1,28183829312.644493,0.393,0.049,0
3750,1.58,8128305161.640995,2.086,0.098,0
3751,0.83,18620871366.628654,1.689,0.046,1
3752,1.51,8709635899.560797,3.913,0.139,1
3753,1.06,21379620895.022324,5.017,0.144,0
3754,1.33,100000000000.0,1.563,0.05,1
3755,1.59,6309573444.801943,3.917,0.119,1
3756,1.81,7079457843.841373,5.474,0.326,0
3757,1.09,38018939632.05613,3.478,0.049,1
3758,1.2,36307805477.01018,1.842,0.05,1
3759,1.74,16595869074.375631,6.856,0.267,1
3760,1.26,8511380382.023759,5.614,0.141,1
3761,0.51,12882495516.931322,1.741,0.037,1
3762,1.3,28840315031.266117,1.207,0.05,1
3763,0.85,13489628825.916561,3.311,0.055,1
3764,0.77,33884415613.920204,1.379,0.044,1
3765,1.48,9549925860.214369,2.235,0.051,1
3766,2.0,97723722095.58112,1.659,0.05,1
3767,1.84,58884365535.55884,1.266,0.051,0
3768,1.49,25118864315.09582,3.454,0.051,1
3769,1.29,61659500186.148094,2.563,0.05,1
3770,1.22,37153522909.71728,0.649,0.05,0
3771,1.0,15135612484.362072,2.597,0.048,1
3772,1.72,31622776601.683792,3.607,0.051,1
3773,1.13,70794578438.41373,1.923,0.049,1
3774,0.55,61659500186.148094,2.541,0.038,1
3775,0.87,44668359215.09635,1.019,0.046,0
3776,1.41,28183829312.644493,2.482,0.051,1
3777,1.29,6456542290.346562,2.161,0.05,1
3778,0.67,26915348039.26914,1.011,0.042,0
3779,1.32,19952623149.688828,1.108,0.05,0
3780,0.97,46773514128.71981,3.866,0.048,1
3781,1.02,9772372209.558111,0.531,0.048,0
3782,1.1,7585775750.291851,3.484,0.063,1
3783,2.0,13803842646.028866,4.423,0.208,1
3784,1.2,22387211385.683376,1.494,0.05,1
3785,1.02,32359365692.96281,2.512,0.048,1
3786,0.9,41686938347.03346,1.216,0.047,0
3787,1.84,67608297539.19819,2.532,0.174,1
3788,0.74,38018939632.05613,1.359,0.044,1
3789,1.69,51286138399.13659,2.389,0.051,1
3790,0.98,9120108393.559114,1.053,0.048,1
3791,0.73,39810717055.34969,1.003,0.044,1
3792,1.17,9120108393.559114,2.133,0.05,1
3793,1.57,7585775750.291851,2.645,0.155,1
3794,1.54,58884365535.55884,1.932,0.051,1
3795,1.3,177827941003.89227,1.811,0.05,1
3796,1.52,20892961308.54041,3.152,0.051,1
3797,1.64,15488166189.124796,3.154,0.059,1
3798,0.61,42657951880.15934,2.225,0.04,0
3799,1.53,33884415613.920204,2.949,0.051,1
3800,1.49,61659500186.148094,1.524,0.051,1
3801,1.73,34673685045.2531,0.864,0.051,0
3802,1.8,18620871366.628654,3.448,0.051,1
3803,0.42,56234132519.034904,2.492,0.033,0
3804,0.53,8709635899.560797,2.531,0.038,1
3805,1.74,16982436524.61746,2.336,0.051,1
3806,1.04,10000000000.0,2.959,0.049,1
3807,0.97,11481536214.968842,1.48,0.048,1
3808,1.23,25118864315.09582,3.248,0.05,1
3809,1.85,28840315031.266117,3.138,0.073,0
3810,1.78,13182567385.564047,1.725,0.051,1
3811,0.73,10471285480.508986,0.698,0.044,0
3812,0.89,41686938347.03346,1.445,0.047,1
3813,0.74,14125375446.227554,0.658,0.044,1
3814,1.94,7762471166.286927,1.765,0.05,1
3815,0.74,38904514499.42805,2.323,0.044,1
3816,1.99,32359365692.96281,3.319,0.132,0
3817,0.91,7079457843.841373,1.736,0.047,1
3818,1.84,7413102413.009162,1.57,0.051,1
3819,1.26,38904514499.42805,0.551,0.05,0
3820,0.52,13803842646.028866,2.17,0.037,0
3821,0.5,11220184543.019653,1.906,0.037,1
3822,1.83,23988329190.194946,1.491,0.108,0
3823,1.22,38904514499.42805,2.396,0.05,1
3824,1.04,12022644346.174131,1.504,0.049,1
3825,0.96,14125375446.227554,2.38,0.055,1
3826,1.15,11748975549.395304,2.028,0.049,1
3827,1.64,22908676527.6777,2.391,0.057,0
3828,0.64,6918309709.189363,1.198,0.041,1
3829,1.77,61659500186.148094,6.699,0.166,1
3830,1.33,27542287033.381634,2.218,0.05,1
3831,0.67,12589254117.941662,2.444,0.042,1
3832,0.51,15488166189.124796,1.815,0.037,0
3833,0.67,33113112148.259075,1.391,0.042,0
3834,1.26,85113803820.2376,2.306,0.05,1
3835,0.94,28840315031.266117,1.988,0.047,1
3836,0.74,9332543007.969925,0.745,0.044,0
3837,0.38,41686938347.03346,1.281,0.031,0
3838,1.49,20417379446.695316,3.861,0.234,1
3839,1.02,18197008586.099827,2.077,0.048,1
3840,0.96,38904514499.42805,1.0,0.048,0
3841,0.67,44668359215.09635,2.697,0.042,0
3842,1.0,83176377110.26709,2.837,0.048,1
3843,1.34,11748975549.395304,6.307,0.151,1
3844,1.37,6456542290.346562,2.73,0.083,1
3845,1.54,21877616239.495518,1.119,0.051,1
3846,1.55,43651583224.016655,2.594,0.051,1
3847,1.52,35481338923.357605,1.83,0.051,1
3848,0.56,7079457843.841373,2.02,0.039,1
3849,0.96,7079457843.841373,2.475,0.048,1
3850,1.95,6606934480.075964,1.26,0.05,1
3851,0.67,125892541179.41661,3.666,0.042,1
3852,1.23,34673685045.2531,3.698,0.145,0
3853,1.3,7244359600.749891,1.056,0.05,1
3854,1.5,7943282347.242822,1.626,0.174,1
3855,0.66,30199517204.02019,0.377,0.042,0
3856,0.98,19498445997.580414,0.861,0.048,0
3857,0.45,6760829753.919819,2.075,0.035,1
3858,1.01,38904514499.42805,2.506,0.048,1
3859,1.11,56234132519.034904,1.229,0.049,1
3860,1.27,14791083881.682072,3.462,0.05,1
3861,1.35,13182567385.564047,3.13,0.121,1
3862,1.18,75857757502.91852,2.434,0.05,0
3863,0.67,173780082874.93762,2.697,0.042,0
3864,0.24,23988329190.194946,4.134,0.058,0
3865,1.66,123026877081.23811,2.848,0.065,0
3866,1.01,89125093813.3744,1.301,0.048,1
3867,1.97,43651583224.016655,0.759,0.012,1
3868,0.84,21877616239.495518,0.779,0.046,0
3869,1.28,6309573444.801943,14.713,0.13,1
3870,1.7,131825673855.64047,1.677,0.051,0
3871,1.02,30902954325.13592,1.642,0.048,1
3872,0.67,8709635899.560797,1.854,0.042,1
3873,1.99,93325430079.69925,3.218,0.05,1
3874,1.65,33113112148.259075,0.712,0.051,0
3875,1.87,8317637711.026709,2.529,0.051,1
3876,1.36,81283051616.40996,1.566,0.051,0
3877,1.16,41686938347.03346,1.04,0.05,0
3878,1.22,16595869074.375631,1.348,0.05,1
3879,1.07,20417379446.695316,2.977,0.049,0
3880,1.5,32359365692.96281,0.661,0.051,1
3881,0.98,32359365692.96281,0.813,0.048,0
3882,1.86,6309573444.801943,1.366,0.051,1
3883,1.33,24547089156.850334,2.723,0.05,1
3884,1.39,28183829312.644493,1.569,0.051,1
3885,1.42,16595869074.375631,2.838,0.051,1
3886,1.65,45708818961.48752,1.424,0.051,0
3887,1.65,51286138399.13659,1.17,0.051,1
3888,1.82,22387211385.683376,1.824,0.051,1
3889,1.21,25703957827.68865,1.496,0.05,1
3890,0.62,20417379446.695316,1.834,0.041,1
3891,1.04,10000000000.0,1.795,0.049,1
3892,1.25,16595869074.375631,2.404,0.05,1
3893,1.22,38904514499.42805,1.148,0.05,0
3894,1.18,28183829312.644493,0.348,0.05,0
3895,0.42,51286138399.13659,4.651,0.033,0
3896,1.22,102329299228.07536,0.649,0.05,0
3897,1.49,57543993733.71567,2.134,0.051,0
3898,1.66,16218100973.58933,0.458,0.051,0
3899,0.6,31622776601.683792,2.168,0.04,1
3900,0.97,10715193052.376049,0.955,0.048,0
3901,1.98,33884415613.920204,3.22,0.05,1
3902,0.67,28840315031.266117,3.414,0.042,1
3903,1.3,6760829753.919819,4.326,0.088,1
3904,1.22,13803842646.028866,1.098,0.05,0
3905,1.5,17782794100.38923,1.219,0.051,1
3906,0.57,16595869074.375631,1.293,0.039,1
3907,1.11,8511380382.023759,1.278,0.049,1
3908,1.1,27542287033.381634,2.699,0.049,1
3909,1.61,63095734448.019424,1.577,0.051,1
3910,1.83,31622776601.683792,2.533,0.051,1
3911,1.06,8912509381.33744,0.877,0.049,1
3912,1.69,19952623149.688828,2.135,0.051,0
3913,1.03,10000000000.0,1.598,0.048,1
3914,0.73,47863009232.2638,0.393,0.044,0
3915,0.52,11220184543.019653,3.891,0.076,1
3916,1.0,7943282347.242822,1.731,0.048,1
3917,0.36,10964781961.43183,1.329,0.03,1
3918,0.74,66069344800.75964,1.666,0.044,1
3919,1.06,12589254117.941662,2.533,0.049,1
3920,1.59,20892961308.54041,3.001,0.069,1
3921,1.07,10471285480.508986,0.39,0.049,1
3922,1.3,23442288153.19918,2.867,0.05,1
3923,1.54,6309573444.801943,2.898,0.133,1
3924,1.14,26302679918.953815,0.543,0.049,0
3925,0.42,102329299228.07536,2.458,0.033,0
3926,1.46,7585775750.291851,10.151,0.547,1
3927,1.65,151356124843.62073,1.933,0.051,0
3928,1.24,30199517204.02019,1.801,0.05,1
3929,1.57,7943282347.242822,2.085,0.051,1
3930,0.54,44668359215.09635,2.746,0.038,1
3931,1.56,12022644346.174131,4.984,2.298,1
3932,1.71,15848931924.611109,3.188,0.694,1
3933,1.42,10000000000.0,3.649,0.176,1
3934,1.81,32359365692.96281,1.369,0.051,1
3935,1.42,61659500186.148094,2.787,0.051,0
3936,1.1,12882495516.931322,1.031,0.049,1
3937,0.68,12882495516.931322,2.035,0.042,1
3938,1.63,57543993733.71567,1.628,0.069,0
3939,0.68,11748975549.395304,1.993,0.042,1
3940,1.52,12882495516.931322,2.491,0.051,0
3941,1.2,15488166189.124796,2.888,0.05,1
3942,1.92,11220184543.019653,2.826,0.05,1
3943,0.81,13489628825.916561,1.358,0.045,1
3944,1.67,67608297539.19819,2.085,0.051,0
3945,1.97,173780082874.93762,1.762,0.05,1
3946,1.48,21877616239.495518,2.387,0.051,1
3947,1.74,19498445997.580414,3.707,0.13,0
3948,0.73,30199517204.02019,1.614,0.044,0
3949,1.31,13182567385.564047,0.906,0.05,0
3950,1.29,8511380382.023759,1.206,0.05,1
3951,1.83,147910838816.8207,4.002,0.084,1
3952,1.07,8317637711.026709,8.834,0.238,1
3953,0.74,31622776601.683792,1.184,0.044,0
3954,1.65,89125093813.3744,1.933,0.051,0
3955,1.63,6309573444.801943,1.373,0.051,1
3956,1.45,10964781961.43183,2.791,0.051,1
3957,1.43,301995172040.2019,1.318,0.051,0
3958,1.99,6606934480.075964,1.257,0.059,1
3959,1.18,8709635899.560797,0.695,0.05,0
3960,1.11,52480746024.97734,1.18,0.049,1
3961,1.01,13489628825.916561,0.771,0.048,1
3962,1.57,25118864315.09582,2.696,0.051,1
3963,1.66,35481338923.357605,3.662,0.051,1
3964,1.62,38904514499.42805,2.95,0.053,1
3965,1.07,22908676527.6777,5.027,0.068,1
3966,1.11,6918309709.189363,1.278,0.049,1
3967,1.02,48977881936.84457,0.58,0.048,0
3968,0.74,22908676527.6777,1.491,0.044,1
3969,0.66,10000000000.0,3.56,0.042,1
3970,1.74,37153522909.71728,2.438,0.051,1
3971,0.38,16595869074.375631,2.094,0.031,0
3972,1.06,57543993733.71567,1.364,0.049,0
3973,1.48,15135612484.362072,4.469,0.051,1
3974,1.06,12882495516.931322,1.461,0.049,1
3975,1.42,9332543007.969925,1.875,0.051,1
3976,1.58,9120108393.559114,3.103,0.051,1
3977,1.09,6606934480.075964,1.861,0.049,1
3978,0.73,7585775750.291851,1.745,0.044,1
3979,1.84,114815362149.6884,9.772,0.176,1
3980,0.73,10471285480.508986,2.05,0.044,1
3981,1.63,6606934480.075964,8.088,2.186,1
3982,0.29,6309573444.801943,1.384,0.026,1
3983,0.73,72443596007.49892,2.748,0.044,0
3984,1.69,7244359600.749891,0.966,0.051,0
3985,1.08,31622776601.683792,7.53,0.105,0
3986,0.74,52480746024.97734,0.921,0.044,0
3987,1.23,93325430079.69925,1.449,0.05,0
3988,1.64,56234132519.034904,2.289,0.051,1
3989,1.04,9549925860.214369,1.989,0.052,0
3990,1.12,14454397707.45928,2.61,0.049,1
3991,1.23,33113112148.259075,3.148,0.05,1
3992,1.05,6606934480.075964,3.5,0.077,1
3993,0.67,13182567385.564047,0.969,0.042,0
3994,1.97,10000000000.0,2.064,0.05,1
3995,0.71,41686938347.03346,1.942,0.043,1
3996,0.68,18197008586.099827,0.509,0.042,0
3997,1.24,19952623149.688828,4.502,0.05,1
3998,0.98,12022644346.174131,2.393,0.048,1
3999,1.25,8709635899.560797,1.352,0.052,1
4000,1.82,19952623149.688828,1.368,0.051,1
4001,0.25,6760829753.919819,1.432,0.023,1
4002,0.73,22908676527.6777,1.09,0.044,1
4003,1.36,28840315031.266117,1.162,0.051,0
4004,0.77,12589254117.941662,1.468,0.044,1
4005,1.19,26915348039.26914,2.039,0.05,1
4006,1.56,17378008287.493763,1.068,0.051,1
4007,1.59,12589254117.941662,2.238,0.057,1
4008,1.49,13489628825.916561,5.08,0.297,1
4009,1.68,6456542290.346562,1.424,0.051,1
4010,1.38,128824955169.31323,9.863,0.262,0
4011,1.01,34673685045.2531,0.964,0.048,1
4012,0.67,26302679918.953815,1.18,0.042,1
4013,0.73,7585775750.291851,2.093,0.044,1
4014,1.47,7585775750.291851,4.925,0.21,1
4015,1.04,74131024130.09161,7.428,0.154,0
4016,1.39,11748975549.395304,1.518,0.051,0
4017,1.05,44668359215.09635,1.167,0.049,1
4018,1.4,11220184543.019653,1.57,0.051,1
4019,0.73,85113803820.2376,1.265,0.044,0
4020,1.21,7413102413.009162,0.748,0.05,1
4021,0.54,9549925860.214369,3.967,0.081,0
4022,1.33,22908676527.6777,2.168,0.05,1
4023,1.32,70794578438.41373,3.275,0.05,0
4024,1.66,19054607179.632442,3.051,0.066,1
4025,1.85,7079457843.841373,2.025,0.051,1
4026,1.61,6606934480.075964,1.73,0.051,1
4027,1.09,8912509381.33744,1.47,0.049,1
4028,0.66,69183097091.89363,2.219,0.042,0
4029,0.23,19952623149.688828,2.736,0.025,1
4030,1.59,11481536214.968842,2.696,0.064,1
4031,1.46,114815362149.6884,2.639,0.051,1
4032,0.67,12302687708.123812,0.759,0.042,0
4033,0.72,9120108393.559114,1.345,0.043,1
4034,0.97,77624711662.86928,3.293,0.048,0
4035,1.99,66069344800.75964,2.716,0.05,1
4036,1.04,162181009735.8933,3.348,0.049,0
4037,1.8,54954087385.76248,9.532,1.549,1
4038,1.09,44668359215.09635,2.057,0.049,1
4039,1.04,54954087385.76248,0.97,0.049,0
4040,1.51,10964781961.43183,2.49,0.051,1
4041,1.65,17378008287.493763,1.475,0.051,1
4042,0.35,10232929922.807537,2.284,0.03,1
4043,0.73,14125375446.227554,5.234,0.077,1
4044,1.53,12302687708.123812,6.304,0.671,1
4045,1.51,28183829312.644493,1.118,0.051,1
4046,1.04,53703179637.02533,1.455,0.049,0
4047,1.35,23988329190.194946,7.119,0.25,1
4048,1.38,31622776601.683792,2.023,0.051,0
4049,1.83,13182567385.564047,15.094,0.09,1
4050,1.38,8709635899.560797,2.984,0.051,1
4051,1.1,12302687708.123812,4.515,0.096,0
4052,1.22,12022644346.174131,3.494,0.168,1
4053,1.11,165958690743.75632,2.507,0.049,1
4054,1.34,13489628825.916561,1.362,0.05,1
4055,1.74,10000000000.0,2.692,0.086,1
4056,1.17,12302687708.123812,1.24,0.05,1
4057,1.59,25703957827.68865,3.306,0.165,1
4058,0.76,20417379446.695316,1.727,0.044,1
4059,1.4,25118864315.09582,3.899,0.098,1
4060,0.74,50118723362.72715,1.228,0.044,0
4061,0.92,10000000000.0,2.353,0.048,1
4062,1.53,38904514499.42805,2.898,0.051,1
4063,1.08,12302687708.123812,3.081,0.049,1
4064,1.18,44668359215.09635,2.384,0.05,1
4065,1.17,60255958607.435684,4.613,0.05,1
4066,1.05,8317637711.026709,1.458,0.049,1
4067,1.07,25118864315.09582,2.196,0.049,1
4068,1.14,102329299228.07536,3.457,0.056,0
4069,1.21,23442288153.19918,0.598,0.05,1
4070,1.46,11220184543.019653,2.893,0.051,1
4071,0.98,45708818961.48752,1.148,0.048,0
4072,1.65,26302679918.953815,3.001,0.051,1
4073,1.79,47863009232.2638,1.116,0.051,1
4074,1.09,13182567385.564047,1.029,0.049,1
4075,1.93,7762471166.286927,3.127,0.101,1
4076,1.38,28840315031.266117,1.366,0.051,1
4077,1.72,21379620895.022324,2.388,0.067,1
4078,0.41,18197008586.099827,0.688,0.033,1
4079,1.68,12589254117.941662,2.491,0.051,1
4080,0.9,7079457843.841373,1.59,0.069,1
4081,1.17,16595869074.375631,0.595,0.05,0
4082,1.37,79432823472.42822,3.387,0.051,1
4083,0.78,30902954325.13592,1.877,0.045,0
4084,1.06,16982436524.61746,0.146,0.049,0
4085,1.66,22387211385.683376,1.322,0.051,0
4086,1.16,9549925860.214369,1.734,0.05,1
4087,1.31,77624711662.86928,1.51,0.05,1
4088,1.06,66069344800.75964,1.656,0.049,0
4089,1.15,6309573444.801943,0.89,0.049,1
4090,0.21,27542287033.381634,1.543,0.021,1
4091,1.54,19054607179.632442,3.559,0.072,1
4092,1.6,10232929922.807537,2.696,0.051,1
4093,1.62,8511380382.023759,1.373,0.051,1
4094,0.79,52480746024.97734,1.257,0.045,1
4095,1.5,10232929922.807537,7.368,0.328,1
4096,0.85,7943282347.242822,3.357,0.051,1
4097,0.85,9332543007.969925,1.426,0.046,1
4098,1.3,16595869074.375631,3.571,0.084,1
4099,0.87,28840315031.266117,1.436,0.046,1
4100,0.9,30199517204.02019,1.076,0.047,1
4101,0.99,12882495516.931322,7.723,0.205,1
4102,1.06,22387211385.683376,6.82,1.337,1
4103,1.0,14791083881.682072,1.827,0.048,1
4104,0.94,13182567385.564047,1.704,0.047,1
4105,1.04,131825673855.64047,2.717,0.049,0
4106,0.91,83176377110.26709,1.689,0.047,1
4107,1.07,7079457843.841373,0.976,0.049,1
4108,0.91,20892961308.54041,3.379,0.047,1
4109,0.68,39810717055.34969,1.484,0.042,1
4110,0.68,19054607179.632442,0.594,0.042,1
4111,0.58,10232929922.807537,0.593,0.04,1
4112,0.95,31622776601.683792,3.846,0.064,1
4113,1.3,7079457843.841373,1.911,0.058,1
4114,0.83,10232929922.807537,3.195,0.052,1
4115,1.05,41686938347.03346,2.09,0.049,1
4116,1.15,23988329190.194946,1.781,0.049,1
4117,1.16,177827941003.89227,1.684,0.05,1
4118,0.82,51286138399.13659,4.0,0.063,1
4119,0.91,8511380382.023759,1.455,0.047,1
4120,0.8,9120108393.559114,0.857,0.045,0
4121,1.04,48977881936.84457,0.97,0.049,1
4122,0.91,21379620895.022324,2.065,0.047,1
4123,0.71,44668359215.09635,2.589,0.043,0
4124,0.94,18620871366.628654,2.651,0.048,1
4125,0.75,60255958607.435684,3.965,0.044,1
4126,0.75,6309573444.801943,0.969,0.044,1
4127,1.22,44668359215.09635,2.496,0.05,1
4128,1.0,109647819614.31828,3.51,0.048,1
4129,0.66,6606934480.075964,1.759,0.042,1
4130,0.47,12022644346.174131,1.276,0.035,1
4131,1.3,8912509381.33744,1.006,0.05,1
4132,1.03,97723722095.58112,2.927,0.055,1
4133,1.11,8511380382.023759,5.456,0.414,1
4134,1.06,15848931924.611109,2.046,0.049,1
4135,0.54,6606934480.075964,6.713,0.048,1
4136,1.3,6309573444.801943,3.05,0.163,1
4137,0.66,6309573444.801943,2.554,0.042,1
4138,0.64,35481338923.357605,2.438,0.041,1
4139,0.44,9772372209.558111,2.287,0.034,1
4140,0.73,147910838816.8207,1.003,0.044,1
4141,0.53,10232929922.807537,5.29,0.038,1
4142,0.57,63095734448.019424,3.252,0.039,0
4143,0.87,6606934480.075964,2.594,0.047,1
4144,0.88,72443596007.49892,3.811,0.064,1
4145,1.01,8511380382.023759,0.868,0.048,1
4146,1.22,7943282347.242822,3.344,1.158,1
4147,0.73,23442288153.19918,2.181,0.044,1
4148,0.97,8912509381.33744,1.909,0.048,1
4149,0.72,34673685045.2531,2.82,0.043,1
4150,0.47,147910838816.8207,3.65,0.035,0
4151,0.71,83176377110.26709,2.632,0.043,0
4152,1.01,89125093813.3744,2.41,0.048,1
4153,0.67,14454397707.45928,1.686,0.042,1
4154,0.69,10715193052.376049,2.645,0.13,0
4155,0.58,20417379446.695316,0.83,0.04,1
4156,0.42,8912509381.33744,3.953,0.033,1
4157,1.04,100000000000.0,2.717,0.049,1
4158,0.95,9332543007.969925,3.941,0.047,1
4159,0.79,21379620895.022324,0.628,0.045,0
4160,0.57,12022644346.174131,1.45,0.039,0
4161,0.79,51286138399.13659,1.975,0.045,1
4162,0.64,33884415613.920204,1.446,0.041,1
4163,0.93,19498445997.580414,5.571,0.09,1
4164,1.23,21877616239.495518,0.4,0.05,1
4165,0.43,7762471166.286927,1.381,0.034,1
4166,1.24,30902954325.13592,3.752,0.105,1
4167,0.82,32359365692.96281,2.864,0.045,1
4168,1.01,27542287033.381634,5.205,0.255,1
4169,0.86,13182567385.564047,3.231,0.061,1
4170,1.3,93325430079.69925,4.879,0.079,1
4171,0.59,14125375446.227554,1.274,0.04,1
4172,1.18,39810717055.34969,0.993,0.05,1
4173,0.4,22908676527.6777,6.452,0.115,1
4174,0.92,8128305161.640995,4.095,0.047,1
4175,0.94,6760829753.919819,1.61,0.047,1
4176,1.04,20417379446.695316,1.019,0.049,1
4177,0.6,9549925860.214369,1.525,0.04,1
4178,0.75,22908676527.6777,0.749,0.044,0
4179,0.66,10232929922.807537,1.005,0.042,0
4180,0.92,37153522909.71728,3.059,0.047,1
4181,0.79,30199517204.02019,0.988,0.045,1
4182,0.41,16595869074.375631,0.917,0.033,1
4183,1.22,35481338923.357605,3.444,0.135,1
4184,0.97,7244359600.749891,2.625,0.048,1
4185,1.21,10964781961.43183,4.779,0.246,1
4186,0.85,13489628825.916561,3.955,0.046,1
4187,0.54,6309573444.801943,4.463,0.113,1
4188,1.23,20417379446.695316,4.697,0.127,1
4189,1.05,13803842646.028866,1.361,0.049,1
4190,0.92,10000000000.0,1.789,0.047,1
4191,1.27,20892961308.54041,1.003,0.05,0
4192,0.57,16218100973.58933,1.214,0.039,1
4193,1.0,9549925860.214369,2.26,0.061,1
4194,1.06,13489628825.916561,1.705,0.049,1
4195,1.28,7413102413.009162,2.26,0.364,1
4196,0.59,7943282347.242822,1.474,0.04,1
4197,1.19,20417379446.695316,0.995,0.05,0
4198,1.21,67608297539.19819,1.246,0.05,1
4199,1.0,60255958607.435684,1.539,0.048,0
4200,0.81,11748975549.395304,1.358,0.045,1
4201,0.96,6918309709.189363,3.142,0.048,1
4202,1.0,43651583224.016655,3.414,0.048,1
4203,1.0,107151930523.76048,1.779,0.048,1
4204,0.6,15848931924.611109,2.127,0.04,1
4205,1.07,9772372209.558111,3.612,0.069,1
4206,0.85,30199517204.02019,0.874,0.046,1
4207,1.08,6918309709.189363,4.939,0.3,1
4208,0.95,14454397707.45928,7.264,0.225,1
4209,0.71,30902954325.13592,1.381,0.043,1
4210,1.22,19498445997.580414,0.399,0.05,1
4211,0.92,43651583224.016655,2.118,0.047,0
4212,1.21,6456542290.346562,3.639,0.189,1
4213,1.07,10000000000.0,1.806,0.079,1
4214,0.72,13182567385.564047,0.434,0.043,1
4215,1.07,7244359600.749891,7.467,0.36,1
4216,0.91,8912509381.33744,7.039,0.174,1
4217,0.92,48977881936.84457,1.365,0.047,1
4218,0.82,28183829312.644493,1.091,0.045,1
4219,0.68,8709635899.560797,1.06,0.042,0
4220,0.66,11481536214.968842,0.754,0.042,0
4221,1.24,87096358995.60797,4.052,0.065,1
4222,1.2,100000000000.0,1.498,0.509,1
4223,0.65,89125093813.3744,3.869,0.042,0
4224,0.78,30199517204.02019,1.117,0.045,0
4225,1.09,33884415613.920204,1.715,0.114,1
4226,0.35,13803842646.028866,1.157,0.03,1
4227,0.67,22387211385.683376,1.138,0.042,0
4228,0.88,54954087385.76248,1.348,0.046,0
4229,1.24,7943282347.242822,4.652,0.141,1
4230,0.9,48977881936.84457,5.239,0.047,1
4231,0.78,54954087385.76248,1.475,0.045,1
4232,0.95,13182567385.564047,1.092,0.047,1
4233,0.49,7585775750.291851,0.399,0.036,1
4234,0.83,6606934480.075964,1.46,0.046,1
