HRS no HIdef: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
JINGLE71      0.1530008      8.6772928      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE72     -0.8190002      8.8002949      0.1140379      0.0500000      0.1140379      0.0500000
JINGLE74      0.0629997      8.7055178      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE76     -1.0000000      8.7878628      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE77     -0.1000004      8.6889753      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE81     -1.6719999      8.8692513      0.1160315      0.0500000      0.1160315      0.0500000
JINGLE82      0.2130003      8.5075846      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE84     -0.7900000      8.7752428      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE85     -0.5820007      8.8100309      0.1425964      0.0500000      0.1425964      0.0500000
JINGLE86     -0.5000000      8.7409534      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE89     -0.5489998      8.8347435      0.1126634      0.0500000      0.1126634      0.0500000
JINGLE90     -0.0220003      8.8077898      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE99     -0.1399994      8.6892548      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE100     -0.2130003      8.8356304      0.1124458      0.0500000      0.1124458      0.0500000
JINGLE101     -0.5200005      8.8148355      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE102      0.4080000      8.7331934      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE106     -1.1970005      8.8347435      0.1129242      0.0500000      0.1129242      0.0500000
JINGLE108      0.0930004      8.8648462      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE111     -0.7500000      8.8232784      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE118     -0.5200005      8.8488865      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE121     -0.7630005      8.8347435      0.1124458      0.0500000      0.1124458      0.0500000
JINGLE122     -0.6300001      8.7834053      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE123     -0.1800003      8.7212439      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE125     -0.9400005      8.7608843      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE131     -0.8490000      8.5910196      0.1129242      0.0500000      0.1129242      0.0500000
JINGLE135     -0.0369997      8.7250500      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE138      0.0480003      8.7466688      0.1125952      0.0500000      0.1125952      0.0500000
JINGLE144     -1.1339998      8.8471756      0.1127410      0.0500000      0.1127410      0.0500000
JINGLE146      0.0880003      8.5965233      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE148     -0.7980003      8.7444801      0.1129242      0.0500000      0.1129242      0.0500000
JINGLE149     -0.4449997      8.8343201      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE151     -0.4100008      8.7798977      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE154     -1.2399998      8.8347435      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE156     -0.8299999      8.7272511      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE160     -0.3519993      8.6904087      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE163     -1.1280003      8.8136463      0.1128279      0.0500000      0.1128279      0.0500000
JINGLE165     -1.1920004      8.8347435      0.1137019      0.0500000      0.1137019      0.0500000
JINGLE173     -0.1000004      8.7725325      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE175     -0.1810007      8.8080406      0.1124865      0.0500000      0.1124865      0.0500000
JINGLE183     -0.9199991      8.6571932      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE184     -0.7000008      8.7928305      0.1126634      0.0500000      0.1126634      0.0500000
JINGLE189     -0.0799999      8.7244043      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE191     -0.6980000      8.7032452      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE0     -1.6090002      8.6256943      0.1318198      0.0500000      0.1318198      0.0500000
JINGLE1     -0.2570000      8.7791328      0.1242269      0.0500000      0.1242269      0.0500000
JINGLE2      0.3730001      8.6403713      0.1242268      0.0500000      0.1242268      0.0500000
