# downloaded from http://dustpedia.astro.noa.gr
# name,RA,DEC,dist_best,vhelio,HIflux,HIfluxerr,MHI,MHIerr,logMHI,logMHI_err,HI_ref,Flag
NGC4429,186.8607,11.10753,13.001691098,1105.91438731,1.2699999999999998,nan,5.066585911034954E7,nan,7.704715411118911,nan,Courtois2009,0.0
NGC4430,186.85995,6.26282,35.6450779629,1445.58095613,6.599999904632568,0.079999998,1.9790422690551555E9,2.3988390950503152E7,9.29645507011411,0.00526443333020854,Haynes2018,0.0
NGC4434,186.90285,8.15431,22.1819497799,1068.95067247,nan,nan,nan,nan,nan,nan,nan,
NGC4435,186.9186,13.0789,16.5196155155,802.21251401,1.0,0.0,6.4403856440067805E7,0.0,7.808911873268143,0.0,Boselli2014,1.0
NGC4436,186.92205,12.31602,17.9,1113.90654187,nan,nan,nan,nan,nan,nan,nan,
NGC4437,188.18955,0.11462,8.39460495293,1126.89379303,161.53513531999548,0.21699701701866478,2.686454746379899E9,3608828.9267093516,9.429179529228914,5.834066007919247E-4,Haynes2018,3.0
NGC4438,186.94035,13.00884,11.2719757499,91.9097774457,8.010000228881836,0.159999996,2.4018430404954985E8,4797688.725450475,8.380544623019437,0.00867619945161735,Haynes2018,0.0
NGC4440,186.9732,12.29322,17.2981602494,724.289007045,1.330000042915344,0.0,9.39211691451807E7,0.0,7.972763490101794,0.0,Boselli2014,1.0
NGC4442,187.01625,9.80368,15.1356065018,531.478278273,1.169999957084656,0.0,6.3255385302850686E7,0.0,7.801097505464462,0.0,Boselli2014,1.0
NGC4445,187.0665,9.43629,18.0301791507,342.663626781,0.8100000023841859,0.07999999800000002,6.214369995995958E7,6137649.223508509,7.793397107051512,0.04303357216654691,Haynes2018,0.0
NGC4449,187.0461,44.09324,4.2657963121,203.799941293,263.0,13.2,1.1294525241681998E9,5.668735102289089E7,9.052867980342603,0.021815620102247024,Wong2006,0.0
NGC4450,187.12335,17.08499,16.4437202653,1953.08277072,4.640405515208459,0.10000874342971104,2.961202432572142E8,6381902.073071319,8.471468097475064,0.009361244817477576,Haynes2018,3.0
NGC4451,187.1691,9.25882,26.0615574759,860.155634573,2.8399999141693115,0.109999999,4.552301966953941E8,1.7632155943146214E7,8.658231062313241,0.016829684886555896,Haynes2018,0.0
NGC4452,187.18035,11.75505,16.04,161.84112985,0.5,0.0,3.0359228799999997E7,0.0,7.482290735202414,0.0,Huchtmeier1989_u...,1.0
NGC4454,187.2114,-1.93912,31.35,2327.71501574,3.6999999999999997,1.1999999999999997,8.58200607E8,2.783353320000015E8,8.93358881737057,0.1461280356782373,Huchtmeier1989,0.0
NGC4457,187.2459,3.57058,10.7151864641,888.128175535,4.019999980926515,0.09000000300000001,1.0892749591275826E8,2438675.390103837,8.0371375199387,0.009724636183027435,Haynes2018,0.0
NGC4458,187.23975,13.24183,16.2929563193,675.337060362,2.33029798016,0.0,1.4599004689922884E8,0.0,8.164323248085198,0.0,Bettoni2003_uplim,1.0
NGC4459,187.2501,13.97856,15.848924964,1184.83691359,3.5999999046325684,0.0,2.1340967811489528E8,0.0,8.329214110761301,0.0,Boselli2014,1.0
NGC4460,187.1898,44.86426,9.50604108973,486.52240887,4.6,0.61,9.810004555192387E7,1.3008919084059503E7,7.9916692090409525,0.05793241380638747,Springob2005,0.0
NGC4461,187.2624,13.18378,12.0226422341,1923.11219112,0.6600000262260436,0.0,2.251416285343276E7,0.0,7.352455803180189,0.0,Boselli2014,1.0
NGC4464,187.33875,8.15656,15.7036316297,1264.7584592,0.7999999999999999,0.0,4.655884395301614E7,0.0,7.6680021883287095,0.0,Huchtmeier1989_u...,1.0
NGC4468,187.37865,14.04909,15.7036316297,888.128175535,6.66992440452,nan,3.881799619105759E8,nan,8.58903311308152,nan,Bettoni2003,0.0
NGC4469,187.3668,8.74994,16.7494278775,585.425321556,0.3499999940395356,0.059999998000000006,2.3172879012235444E7,3972493.5238136603,7.3649799941461485,0.07519292900217911,Haynes2018,3.0
NGC4470,187.40745,7.8239,17.2186881698,2334.70815098,7.300000190734863,0.079999998,5.1078130870488876E8,5597603.111696576,8.708234996510622,0.004759581895939391,Haynes2018,0.0
NGC4472,187.44495,8.00039,16.5958792785,978.039914341,0.1,0.0,6499987.733026478,0.0,6.812912537029941,0.0,Huchtmeier1989_u...,1.0
NGC4473,187.45365,13.4294,15.1356065018,2247.79347014,3.599999904632568,0.0,1.9463195676107374E8,0.0,8.289214148910538,0.0,Boselli2014,1.0
NGC4474,187.47315,14.06862,15.3461652449,1608.4211053,1.0917579331400002,0.0,6.0678955988412835E7,0.0,7.783038099926625,0.0,Bettoni2003_uplim,1.0
NGC4476,187.49625,12.34863,17.3780182093,1957.078848,0.7999999999999999,0.0,5.7016753587465525E7,0.0,7.7560024858744,0.0,Huchtmeier1989_u...,1.0
NGC4477,187.50915,13.6364,16.4437202653,1356.66823664,1.0,0.0,6.3813440934571356E7,0.0,7.8049121631869784,0.0,Boselli2014,1.0
NGC4478,187.5738,12.3271,16.8267341075,1388.63685489,3.599999904632568,0.0,2.4055487165101036E8,0.0,8.381214156539883,0.0,Boselli2014,1.0
NGC4479,187.5765,13.57757,17.2186881698,847.168383412,0.8,0.0,5.597603236812742E7,0.0,7.748002112034837,0.0,Huchtmeier1989_u...,1.0
NGC4480,187.6116,4.24642,36.6437684082,2428.61596707,11.310000419616697,0.10000000099999999,3.5840567973530645E9,3.168927248263668E7,9.554374883406819,0.003840015826366283,Haynes2018,0.0
NGC4482,187.5432,10.77951,17.9473439929,1834.19947163,nan,nan,nan,nan,nan,nan,nan,
NGC4483,187.66935,9.01565,16.5958792785,882.134059615,0.7,0.0,4.5499914131185345E7,0.0,7.658010577044198,0.0,Huchtmeier1989_u...,1.0
NGC4486,187.7058,12.39118,16.7494278775,1281.74178764,1123.1355984999998,nan,7.436081651885756E10,nan,10.871344149896084,nan,Casasola2004,0.0
NGC4488,187.71405,8.36011,8.05378695869,983.035010941,0.8985997341660001,0.0,1.3755569116888173E7,0.0,7.13847856340698,0.0,Bettoni2003_uplim,1.0
NGC4491,187.7379,11.48348,3.59093391589,495.513582751,0.8500000238418579,0.0,2586698.2340457207,0.0,6.412745766585513,0.0,Boselli2014,1.0
NGC4492,187.74885,8.07769,32.6587786274,1750.28184875,0.6100000143051149,0.07000000000000002,1.5354713805440444E8,1.762016304509919E7,8.18624172609486,0.05005757547231937,Haynes2018,0.0
NGC4494,187.85025,25.77468,16.6724768118,1318.70550248,3.599999904632569,0.0,2.3616456573456675E8,0.0,8.373214736374996,0.0,Boselli2014,1.0
NGC4496A,187.91295,3.9395,14.588143756,1728.30342371,43.40999984741211,0.10000000100000002,2.1802277143186526E9,5022409.017438782,9.338501855947403,0.0010004497998625794,Haynes2018,0.0
NGC4497,187.8855,11.62469,13.8448935008,1040.9781315,0.7,0.0,3.166571376321122E7,0.0,7.500589281718473,0.0,Huchtmeier1989_u...,1.0
NGC4498,187.9149,16.85279,16.6724768118,1504.52309601,12.170000076293947,0.09000000300000001,7.983674608738495E8,5904114.534378233,8.902202828065247,0.003211768056134545,Haynes2018,0.0
NGC4501,187.99695,14.42014,11.168628848,2279.76208838,29.93634954541134,0.13373626255001345,8.812731972017577E8,3936959.1041979385,8.945110561811228,0.0019401599802382208,Haynes2018,3.0
NGC4502,188.01375,16.68767,27.5422906622,1625.40443374,3.8499999046325684,0.07,6.89243749220227E8,1.2531704895050168E7,8.838372836161238,0.007897133820906177,Haynes2018,0.0
NGC4503,188.02575,11.17642,11.7489801934,1351.67314004,14.7511628627,15.0,4.8055002505900586E8,4.886564159705672E8,8.68173860423397,nan,Bettoni2003,0.0
NGC4506,188.04375,13.41963,13.9131622064,575.435128356,0.8999999761581421,0.0,4.111555885114089E7,0.0,7.614006197655308,0.0,Boselli2014,1.0
NGC4516,188.28135,14.57494,13.9541234298,941.076199498,3.599999904632568,0.0,1.6543203518324924E8,0.0,8.218619612569357,0.0,Boselli2014,1.0
NGC4519,188.37615,8.65445,18.9670538809,1222.79964776,46.91999816894531,0.109999999,3.9835451632717824E9,9339087.440023422,9.600269745324487,0.0010181688435348946,Haynes2018,0.0
NGC4521,188.1987,63.9392,40.3741125068,2513.53260928,14.579793869500001,nan,5.608792387898369E9,nan,9.748869364691483,nan,Bettoni2003,0.0
NGC4522,188.41545,9.175,14.5211062271,2317.72482254,7.170000076293944,0.10000000099999999,3.568047013911434E8,4976355.689139351,8.55243056816703,0.006057498556879537,Haynes2018,0.0
NGC4525,188.463,30.27756,11.1173173705,1174.84672039,7.9000000953674325,0.07000000000000002,2.30430046322527E8,2041785.2046241348,8.36253910713527,0.003848279639011132,Haynes2018,0.0
NGC4526,188.51265,7.69921,15.3461652449,586.424340876,0.20000000298023227,0.039999999,1.1115826146200974E7,2223165.1464208458,7.045941745703748,0.08804562615727196,Haynes2018,3.0
NGC4527,188.53395,2.65334,14.125378548,1734.29753963,120.01453478816013,0.18222675019195386,5.651269774776415E9,8580731.774924219,9.75214603971698,6.59421240334801E-4,Haynes2018,3.0
NGC4528,188.5254,11.32123,15.631468051,1367.65744916,0.6958788345460001,0.0,4.012778288384766E7,0.0,7.6034451650189,0.0,Bettoni2003_uplim,1.0
NGC4531,188.5662,13.0754,15.0660697355,106.895067247,13.6470676239,nan,7.310570895852093E8,nan,8.863951293132569,nan,Bettoni2003,0.0
NGC4532,188.5809,6.46756,11.1173173705,2013.02392992,41.56000137329102,0.09000000300000001,1.212237079240987E9,2625152.49908298,9.083587563837883,9.404851956897886E-4,Haynes2018,0.0
NGC4533,188.59185,2.32539,19.1425621086,1758.27400331,7.679999828338622,0.07999999799999999,6.641609587990791E8,6918343.320823766,8.82227334299308,0.004524064488698798,Haynes2018,0.0
NGC4535,188.5845,8.19775,14.9279531432,1960.07590596,81.67781270427666,0.14817352359111433,4.295528733194432E9,7792613.540262331,9.633016628417765,7.878640751721733E-4,Haynes2018,3.0
NGC4536,188.61285,2.18791,14.5211062271,1805.22791135,89.61534252335704,0.18491687227210865,4.45957812954988E9,9202121.180738918,9.649293776946605,8.96146677233034E-4,Haynes2018,3.0
NGC4540,188.7117,15.55109,12.6473703623,1284.7388456,4.639999866485594,0.06999999999999998,1.751581881028634E8,2642472.7526314324,8.243430444050356,0.0065523537459935,Haynes2018,0.0
NGC4546,188.87295,-3.79328,13.9315697426,1052.96636335,3.380000114440918,nan,1.5482062800195554E8,nan,8.189828824761474,nan,Boselli2014,0.0
NGC4550,188.87685,12.22119,15.2756611191,409.597921225,3.5999999046325684,0.0,1.9825060565084806E8,0.0,8.297214522750899,0.0,Boselli2014,1.0
NGC4551,188.9082,12.26397,16.0694246689,1198.82318407,0.15235622118399997,nan,9284806.379708301,nan,6.967772851629807,nan,Bettoni2003,0.0
NGC4552,188.916,12.55611,15.7036316297,322.68324038,3.599999904632569,0.0,2.0951479223832592E8,0.0,8.321214690599177,0.0,Boselli2014,1.0
NGC4559,188.9904,27.95968,7.14496476697,813.20172653,427.17080307527374,0.17777907890409086,5.146520977051223E9,2141868.6755599133,9.711513747285569,1.8074380821708758E-4,Haynes2018,3.0
NGC4561,189.0339,19.32264,23.7683988995,1397.62802877,27.440000534057614,0.12999999499999998,3.658440309044971E9,1.733225996627619E7,9.563295973497095,0.002057532867502765,Haynes2018,0.0
NGC4562,188.89425,25.84967,11.0662294804,1351.67314004,6.2199997901916495,0.059999997999999985,1.7976358347365624E8,1734053.8796071755,8.254701716883941,0.0041894658340622115,Haynes2018,0.0
NGC4564,189.11235,11.4394,15.631468051,1130.88987031,3.5999999046325684,0.0,2.075936317982936E8,0.0,8.317214026838844,0.0,Boselli2014,1.0
