#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC1300       spiral     727  1.000000  1.000000  6.097428  6.260918  0.00232564   54.3349    5.1687    5.6449   10.6165    9.7576       NaN   21.0469    5.2217
NGC1300       spiral     728  1.000000  1.000000  6.223880  6.377886  0.00248614   53.1482    5.5916    6.0608   11.3029   10.3187       NaN   21.9828    5.6515
NGC1300       spiral     729  0.905318  0.818109  6.504585  6.478660  0.00120134   47.1928    4.9447    5.2705   10.0411   13.0242       NaN   11.1382    5.0620
NGC1300       spiral     730  1.012370  1.014063  6.920799  6.866593  0.00121502   41.3254    3.5972    3.7399       NaN       NaN       NaN       NaN    3.2827
NGC1300       spiral     731  1.101855  1.277899  7.449845  7.022538  0.00087563   34.4405    1.2936    1.3030    2.5401    3.0068       NaN   13.7964    1.8506
NGC1300       spiral    1548  0.940016  0.990107  8.596261  8.486091  0.00428701   57.6617   10.4254    9.8063   19.6558   26.8705       NaN   11.4080    8.9882
NGC1300       spiral    1549  1.000000  1.000000  8.074266  8.129398  0.00498440   61.9509    6.6059    6.4106   12.6876   11.8498       NaN   22.2796    6.8152
NGC1300       spiral    1550  1.000000  1.000000  7.648968  7.683608  0.00291934   55.5807    5.8601    5.8332   11.4263   15.9828       NaN   10.4062    5.9153
NGC1300       spiral    1551  1.000000  1.000000  7.337204  7.424993  0.00230536   54.9251    6.5392    6.6317   12.8923   16.2272       NaN   12.2883    6.5426
NGC1300       spiral    1552  1.000000  1.000000  7.153831  7.487629  0.00161450   51.4934    4.3347    4.4444    8.6019    8.2367       NaN   20.2704    4.3997
NGC1300       spiral    1553  1.000000  1.000000  7.108792  7.433876  0.00155025   49.6038    3.1653    3.2541       NaN       NaN       NaN       NaN    3.1970
NGC1300       spiral    1554  1.022233  0.992931  7.204682  7.186885  0.00199606   49.3916    2.0095    2.0541    3.9805    8.5518       NaN    5.0613    1.7400
NGC1300       spiral    1555  0.915140  0.962885  7.436051  7.275912  0.00177388   49.8471    2.1515    2.1690    4.2269    6.3107       NaN    9.2085    2.2777
NGC1300       spiral    1593  0.986539  1.000270 10.124554  9.986214  0.00247564   45.8428    5.0845    4.3650    9.0801   13.4071       NaN   10.9237    4.8973
NGC1300       spiral    1594  0.955747  0.994749  9.269769  9.422271  0.00423450   53.9784    7.0031    6.3273   12.4579   11.0500       NaN   28.0483    6.7870
NGC1300       spiral    1605  1.061483  2.099056  6.045972  6.387778  0.00212037   79.7925    6.0977    6.6801   12.5856   18.3401       NaN    8.8752    6.1513
NGC1300       spiral    1606  1.000000  1.000000  6.644886  6.820576  0.00342158   91.6717    7.4513    7.8759   15.0559   14.3848       NaN   19.1836    7.3232
