#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sig_SFR   Sig_star      Sig_mol      Sig_mol_4p35   Sig_mol_N12   Sig_mol_B13      F_CO_60pc      F_CO_150pc   Sig_mol_combo
NGC1317          bar     501  1.000000  1.000000  1.747995  1.694352  0.01761811  603.7413   26.5282   35.6503   54.6499       NaN       NaN   24.9029   26.4807
NGC1317          bar     502  1.005233  0.884806  2.703656  2.422625  0.00207704  194.6089    3.1661    3.9036    7.0098       NaN       NaN    5.5686    2.9129
NGC1317          bar     524  1.000000  1.000000  3.238338  2.742444  0.00086263  220.0183    0.3237    0.3803       NaN       NaN       NaN       NaN   -0.0676
NGC1317          bar     525  1.000000  1.000000  2.794108  3.084673  0.00156401  255.8590    1.6010    1.9579       NaN       NaN       NaN       NaN    1.5655
NGC1317          bar     526  1.000000  1.000000  2.708013  2.714525  0.00159068  234.5018    2.2902    2.8226       NaN       NaN       NaN       NaN    2.3503
NGC1365          bar    2326  0.959939  0.961068 11.194780 11.015156  0.00507492  103.7238   11.8096   16.0419       NaN       NaN       NaN       NaN   11.9311
NGC1365          bar    2327  1.000000  1.000000  9.538935  9.497915  0.00551370  114.9536   16.6553   23.2577   26.7412       NaN       NaN   56.0787   16.2911
NGC1365          bar    2328  1.000000  1.000000  7.894136  7.988271  0.00776191  144.1425   16.1860   23.2311   30.1784       NaN       NaN   35.9820   15.7156
NGC1365          bar    2329  1.000000  1.000000  6.269085  6.241413  0.01020610  183.4277   15.7993   23.2992   19.4005       NaN       NaN  135.8249   15.6523
NGC1365          bar    2330  1.000000  1.000000  4.684380  4.543513  0.01046665  224.7472   40.4850   61.3025   66.7085       NaN       NaN   55.4239   40.6101
NGC1365          bar    2331  1.000000  1.000000  3.200520  3.173265  0.01572735  351.1664  135.4438  210.2294  150.6989       NaN       NaN  193.1165  135.7649
NGC1365          bar    2334  1.000000  1.000000  3.015077  2.826031  0.03468633  413.8722   66.0750  102.8762  137.6250       NaN       NaN   27.2899   66.1172
NGC1365          bar    2335  1.000000  1.000000  4.474634  4.113288  0.00638222  221.3533   15.2145   23.1186   31.2252       NaN       NaN   27.9895   15.3316
