#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC0628     interarm    1191  1.000000  1.000000  4.362075  4.360349  0.00391754   55.6676    8.2849    8.9218   16.9267   31.0716   15.5070    6.1594    8.3918
NGC0628     interarm    1192  1.000000  1.000000  4.370117  4.395724  0.00406064   58.3638    9.6785   10.4163   19.7668   23.5346   29.8873   12.8724    9.8786
NGC0628     interarm    1193  1.000000  1.000000  4.605547  4.678538  0.00433451   56.5463   11.4719   12.1289   23.1836   29.8068   20.2930   11.3969   11.5685
NGC0628     interarm    1196  1.000000  1.000000  6.309356  6.215775  0.00392760   32.0819    4.5529    4.2327       NaN       NaN       NaN       NaN    4.7714
NGC0628     interarm    1197  1.000000  1.000000  7.077625  6.639470  0.00241510   19.7340    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1198      -NaN  1.000000  7.900665      -NaN  0.00430407   18.1808    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1199      -NaN  1.000000  8.763055      -NaN  0.00407894   15.3521    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1230  0.956354  0.989792  5.221649  4.869863  0.00297284   35.1874    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1237  1.000000  1.000000  3.641446  3.708414  0.00597966   92.4239   11.4637   13.0351   24.1899   25.0237   25.4818   14.6088   11.5853
NGC0628     interarm    1240  1.000000  1.000000  6.156422  6.220505  0.00441264   33.5035    5.5120    5.1839   10.3913   11.0127   36.0462   17.9504    5.5052
NGC0628     interarm    1241  1.000000  1.000000  7.085278  6.738359  0.00463604   24.7018    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1243      -NaN  1.000000  8.996065      -NaN  0.00245683   13.7267    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1272  1.000000  1.000000  6.619488  6.280234  0.00221264   25.9016    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1284  1.000000  1.000000  5.632820  5.734400  0.00305727   38.0762    4.3701    4.2756       NaN       NaN       NaN       NaN    4.5052
NGC0628     interarm    1285  1.000000  1.000000  6.633265  6.736572  0.00207820   21.8049    2.5108    2.2779       NaN       NaN       NaN       NaN    2.4789
NGC0628     interarm    1286  1.000000  1.000000  7.636404  7.370714  0.00230460   18.9831    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1287      -NaN  1.000000  8.641299      -NaN  0.00289367   18.2331    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1315  1.000000  1.000000  7.636404  7.330608  0.00147017   16.1583    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1327  0.975490  0.956272  4.623162  4.609556  0.00751944   70.5769   10.7367   11.3365   21.6807   23.9852   22.9991   14.8876   10.8204
NGC0628     interarm    1328  1.000000  1.000000  5.619090  5.530027  0.00524621   44.5668    2.7064    2.6506       NaN       NaN       NaN       NaN    2.6903
