HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
HRS HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
HRS4     -1.4100008     -3.1559148      0.1406569      0.1455011      0.1406569      0.1480059
HRS5     -1.4120007     -3.1868305      0.1902366      0.1932312      0.1523562      0.1534486
HRS18     -1.2570000     -3.3612194      0.1836486      0.1987866      0.1583870      0.2526146
HRS22     -2.4300003     -4.4671288      0.1088126      0.1973346      0.1406569      0.5960445
HRS36     -1.5799999     -3.1876788      0.1406569      0.1411567      0.1294694      0.1360701
HRS57     -1.0419998     -2.8358965      0.1406568      0.1393461      0.1499774      0.1470855
HRS83     -0.5719995     -2.8748059      0.1707949      0.2427105      0.1645342      0.6594365
HRS97     -1.5900002     -3.1238356      0.1294694      0.1249430      0.1088126      0.1032495
HRS100     -1.6400003     -3.1112480      0.2290772      0.2270981      0.1294694      0.1275067
HRS113     -1.0699997     -2.9451346      0.1771671      0.1740103      0.1188350      0.1155267
HRS115     -1.5170002     -3.3613119      0.1969321      0.2158997      0.1137426      0.2768644
HRS119     -1.9400005     -3.3194323      0.2664852      0.2714937      0.1523562      0.1622186
HRS120     -2.0100002     -3.2459011      0.1383773      0.1485047      0.0909327      0.1313509
HRS124     -0.9219999     -2.6624832      0.1349963      0.1498833      0.1188349      0.1604316
HRS127     -1.3599997     -3.1799750      0.1294694      0.1313932      0.0994785      0.1059154
HRS128     -0.9720001     -2.7538571      0.1349963      0.1630737      0.1137430      0.2145725
HRS130     -0.6820002     -2.8259878      0.1406569      0.1573396      0.1583870      0.3121136
HRS134     -1.8369999     -3.3483024      0.1464450      0.1677579      0.2078643      0.2564844
HRS136     -2.1500006     -3.5988836      0.1441149      0.1479913      0.1406569      0.1450217
HRS141     -1.8699999     -3.0629616      0.0832991      0.0923281      0.0994785      0.1050684
HRS144     -1.5400000     -3.2948246      0.2467120      0.2507267      0.1088126      0.1313345
HRS149     -1.4600000     -2.9597507      0.1523562      0.1490989      0.1088126      0.1034753
HRS151     -1.3870001     -3.1258297      0.1188350      0.1381464      0.0994785      0.1926157
HRS152     -1.0420008     -3.0542278      0.1240797      0.1320589      0.1240797      0.1519674
HRS153     -0.9519997     -2.8035340      0.1523562      0.1623881      0.2037333      0.2615714
HRS156     -2.3299999     -3.4288502      0.1294694      0.1309614      0.0909327      0.1047483
HRS159     -1.4799995     -3.5472264      0.0767307      0.0869319      0.3265972      0.3531046
HRS160     -1.0220003     -2.8330193      0.1583870      0.1623787      0.1167796      0.1566962
HRS163     -1.8800001     -3.6221523      0.0909327      0.1095445      0.1771670      0.1908985
HRS167     -1.7819996     -3.1129913      0.1771671      0.1829786      0.1771671      0.1837490
HRS170     -2.0600004     -3.4439540      0.1902366      0.2110433      0.0909327      0.2564611
HRS171     -1.1719999     -3.1121168      0.1836486      0.1878396      0.1240797      0.1301555
HRS172     -1.8369999     -3.1761684      0.1040536      0.1128456      0.0909323      0.1024579
HRS173     -2.0299997     -3.8283396      0.1294694      0.1339208      0.0832991      0.0974764
HRS176     -2.9800000     -4.0379748      0.0909323      0.1051977      0.1771669      0.1857411
HRS185     -2.3570004     -3.4744511      0.0950992      0.1410101      0.0785791      0.1952342
HRS190     -1.7200003     -3.0845690      0.1645342      0.1619776      0.1188350      0.1183963
HRS193     -0.5720005     -2.4430733      0.1349964      0.1517344      0.1464450      0.2309060
HRS197     -0.8420000     -2.8054976      0.1771671      0.1826400      0.1240797      0.1552752
HRS206     -1.3119998     -3.0671272      0.1645340      0.1821141      0.1645340      0.2889538
HRS207     -1.2570000     -2.9924684      0.3015368      0.3024127      0.2037333      0.2077804
HRS217     -1.8299999     -3.2118592      0.3615147      0.3619764      0.1771671      0.1769780
HRS220     -2.0600004     -3.2709007      0.1088126      0.1225762      0.0994785      0.1141175
HRS221     -2.2770000     -3.1478810      0.1349961      0.1384129      0.1682772      0.1696503
HRS224     -2.1100006     -3.4603877      0.1523562      0.1996789      0.0994785      0.4645810
HRS226     -0.9720001     -3.0585866      0.1464449      0.1607431      0.1349963      0.1984051
HRS230     -0.6269999     -2.7728486      0.2542348      0.2589497      0.2392932      0.2635386
HRS232     -2.0470004     -3.5545783      0.0994782      0.1238104      0.1523560      0.1891555
HRS233     -1.3970003     -2.9300165      0.1645342      0.1700924      0.1464449      0.1522578
HRS253     -1.9299994     -4.7787886      0.1188349      0.1300966      0.1771671      0.2091233
HRS254     -1.5999994     -3.0264502      0.2319753      0.2395141      0.1406569      0.1524415
HRS256     -1.4919996     -3.3840089      0.1583870      0.1580026      0.1272957      0.1319218
HRS260     -2.7299995     -3.7192907      0.0767303      0.0763468      0.1294691      0.1367682
HRS261     -0.7420006     -2.7246757      0.1707950      0.1940684      0.1040539      0.2617104
HRS285     -2.2900000     -3.4690857      0.1645342      0.1649061      0.1088126      0.1102009
HRS288     -1.6300001     -3.1563015      0.2363526      0.2396060      0.1523562      0.5358328
HRS294     -0.7570000     -2.8673563      0.1707949      0.1808779      0.1188349      0.2022036
HRS300     -1.1419992     -3.4476609      0.2774200      0.3142581      0.1040539      0.4742957
HRS304     -1.2319994     -2.8351660      0.1583870      0.1603807      0.1583870      0.1600232
HRS306     -2.6599998     -4.2041802      0.1645342      0.1937000      0.2176478      0.3527301
HRS310     -0.8870001     -2.9833870      0.1771671      0.1874883      0.1559609      0.2410546
HRS6     -0.0520000     -2.2728577      0.1836486      0.2523820      0.1240796      0.6580879
HRS14     -2.4700003     -5.0212851      0.2467119      0.3021031      0.1088122      0.4843551
HRS21     -0.5620003     -2.4752884      0.2037333      0.2516480      0.1771671      0.5196660
HRS58     -0.7170000     -2.8274488      0.1523562      0.1754281      0.1188349      0.1465792
HRS80     -1.0520000     -2.9038477      0.1645342      0.2035499      0.1464449      0.7457082
HRS99     -1.0619998     -3.0490599      0.1583868      0.1658513      0.1707948      0.1874556
HRS103     -2.2200003     -3.8366470      0.1294694      0.1594849      0.0832991      0.1411332
HRS108     -1.1069994     -3.1254158      0.1406569      0.1993984      0.1188350      0.1969169
HRS117     -2.0699997     -3.2039328      0.3981951      0.4052950      0.0909327      0.1287993
HRS129     -2.4299998     -4.8949952      0.1902364      0.1959326      0.1523560      0.2213337
HRS131     -1.0619993     -3.0324945      0.1836486      0.3483213      0.1040539      0.2442857
